f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,W<sub>LSPR</sub>,A<sub>LSPR</sub>/A<sub>TSPR</sub>
0.8,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,640,0.908750393
1,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,691,1.691179
1.2,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,685.5,1.04732834
1.4,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,773,0.567314247
1.6,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,798,0.63607372
1.8,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,890.5,0.296491339
0.8,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,602.5,1.179024667
2,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,1044.5,0.51053282
1.4,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,931.5,0.770021288
1.4,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,845,0.554842117
1.6,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,910,1.103981484
1.8,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,937,0.615776596
0.8,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,701,2.194920906
1,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,767,2.647730054
1.2,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,928,1.110988891
1.2,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,932,0.816478772
1.6,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,950,0.9714349
1.8,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,930,0.804602974
0.8,1.4,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,756,2.526874575
1,1.4,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,809,2.404878123
1.2,1.4,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,914,1.173990445
1.4,1.4,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,927,0.910139664
1.6,1.4,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,924,0.872508225
1.8,1.4,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,924,0.841760595
1,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,726,2.307903019
1,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,817,2.845133238
1,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,834,2.756481088
1.2,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,840,0.874279123
1.2,1,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,923,0.851342456
1.2,1.2,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,927,0.973789988
1.4,0.8,50,12,27,10,110,50,1.82,10,0.364,350,2,120,27,0.4,0.58,400,0,891,0.556561774
